Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,062101,2001,07,14.7,Y
IDCJAC0002,062101,2001,08,15.5,Y
IDCJAC0002,062101,2001,09,20.1,Y
IDCJAC0002,062101,2001,10,21.2,Y
IDCJAC0002,062101,2001,11,24.8,Y
IDCJAC0002,062101,2001,12,29.0,Y
IDCJAC0002,062101,2002,01,30.5,Y
IDCJAC0002,062101,2002,02,27.0,Y
IDCJAC0002,062101,2002,03,27.0,Y
IDCJAC0002,062101,2002,04,24.0,Y
IDCJAC0002,062101,2002,05,18.1,Y
IDCJAC0002,062101,2002,06,14.9,Y
IDCJAC0002,062101,2002,07,15.3,Y
IDCJAC0002,062101,2002,08,17.9,Y
IDCJAC0002,062101,2002,09,20.9,Y
IDCJAC0002,062101,2002,10,25.9,Y
IDCJAC0002,062101,2002,11,30.6,Y
IDCJAC0002,062101,2002,12,29.7,Y
IDCJAC0002,062101,2003,01,32.8,Y
IDCJAC0002,062101,2003,02,29.2,Y
IDCJAC0002,062101,2003,03,25.2,Y
IDCJAC0002,062101,2003,04,21.2,Y
IDCJAC0002,062101,2003,05,18.7,Y
IDCJAC0002,062101,2003,06,15.4,Y
IDCJAC0002,062101,2003,07,14.0,Y
IDCJAC0002,062101,2003,08,15.5,Y
IDCJAC0002,062101,2003,09,19.0,Y
IDCJAC0002,062101,2003,10,19.8,Y
IDCJAC0002,062101,2003,11,25.4,Y
IDCJAC0002,062101,2003,12,29.5,Y
IDCJAC0002,062101,2004,01,32.6,Y
IDCJAC0002,062101,2004,02,33.3,Y
IDCJAC0002,062101,2004,03,27.6,Y
IDCJAC0002,062101,2004,04,25.3,Y
IDCJAC0002,062101,2004,05,19.0,Y
IDCJAC0002,062101,2004,06,15.3,Y
IDCJAC0002,062101,2004,07,14.2,Y
IDCJAC0002,062101,2004,08,15.7,Y
IDCJAC0002,062101,2004,09,19.1,Y
IDCJAC0002,062101,2004,10,22.9,Y
IDCJAC0002,062101,2004,11,26.2,Y
IDCJAC0002,062101,2004,12,29.0,Y
IDCJAC0002,062101,2005,01,30.8,Y
IDCJAC0002,062101,2005,02,30.0,Y
IDCJAC0002,062101,2005,03,26.5,Y
IDCJAC0002,062101,2005,04,26.3,Y
IDCJAC0002,062101,2005,05,20.3,Y
IDCJAC0002,062101,2005,06,16.3,Y
IDCJAC0002,062101,2005,07,14.8,Y
IDCJAC0002,062101,2005,08,16.4,Y
IDCJAC0002,062101,2005,09,18.5,Y
IDCJAC0002,062101,2005,10,22.2,Y
IDCJAC0002,062101,2005,11,25.6,Y
IDCJAC0002,062101,2005,12,30.8,Y
IDCJAC0002,062101,2006,01,32.6,Y
IDCJAC0002,062101,2006,02,32.1,Y
IDCJAC0002,062101,2006,03,28.5,Y
IDCJAC0002,062101,2006,04,22.1,Y
IDCJAC0002,062101,2006,05,18.2,Y
IDCJAC0002,062101,2006,06,15.5,Y
IDCJAC0002,062101,2006,07,14.7,Y
IDCJAC0002,062101,2006,08,17.7,Y
IDCJAC0002,062101,2006,09,22.3,Y
IDCJAC0002,062101,2006,10,26.2,Y
IDCJAC0002,062101,2006,11,29.5,Y
IDCJAC0002,062101,2006,12,30.0,Y
IDCJAC0002,062101,2007,01,32.6,Y
IDCJAC0002,062101,2007,02,30.9,Y
IDCJAC0002,062101,2007,03,27.4,Y
IDCJAC0002,062101,2007,04,23.9,Y
IDCJAC0002,062101,2007,05,19.9,Y
IDCJAC0002,062101,2007,06,13.2,Y
IDCJAC0002,062101,2007,07,13.1,Y
IDCJAC0002,062101,2007,08,16.9,Y
IDCJAC0002,062101,2007,09,19.8,Y
IDCJAC0002,062101,2007,10,26.0,Y
IDCJAC0002,062101,2007,11,26.0,Y
IDCJAC0002,062101,2007,12,26.6,Y
IDCJAC0002,062101,2008,01,28.8,Y
IDCJAC0002,062101,2008,02,25.4,Y
IDCJAC0002,062101,2008,03,26.1,Y
IDCJAC0002,062101,2008,04,20.4,Y
IDCJAC0002,062101,2008,05,19.3,Y
IDCJAC0002,062101,2008,06,16.5,Y
IDCJAC0002,062101,2008,07,14.4,Y
IDCJAC0002,062101,2008,08,14.0,Y
IDCJAC0002,062101,2008,09,19.7,Y
IDCJAC0002,062101,2008,10,24.1,Y
IDCJAC0002,062101,2008,11,24.5,Y
IDCJAC0002,062101,2008,12,27.2,Y
IDCJAC0002,062101,2009,01,31.4,Y
IDCJAC0002,062101,2009,02,30.6,Y
IDCJAC0002,062101,2009,03,27.3,Y
IDCJAC0002,062101,2009,04,22.3,Y
IDCJAC0002,062101,2009,05,18.8,Y
IDCJAC0002,062101,2009,06,15.1,Y
IDCJAC0002,062101,2009,07,14.1,Y
IDCJAC0002,062101,2009,08,18.3,Y
IDCJAC0002,062101,2009,09,20.4,Y
IDCJAC0002,062101,2009,10,22.4,Y
IDCJAC0002,062101,2009,11,31.7,Y
IDCJAC0002,062101,2009,12,29.5,Y
IDCJAC0002,062101,2010,01,30.8,Y
IDCJAC0002,062101,2010,02,28.1,Y
IDCJAC0002,062101,2010,03,25.9,Y
IDCJAC0002,062101,2010,04,22.5,Y
IDCJAC0002,062101,2010,05,18.0,Y
IDCJAC0002,062101,2010,06,14.3,Y
IDCJAC0002,062101,2010,07,14.0,Y
IDCJAC0002,062101,2010,08,14.0,Y
IDCJAC0002,062101,2010,09,18.4,Y
IDCJAC0002,062101,2010,10,21.1,Y
IDCJAC0002,062101,2010,11,23.5,Y
IDCJAC0002,062101,2010,12,25.7,Y
IDCJAC0002,062101,2011,01,30.1,Y
IDCJAC0002,062101,2011,02,29.9,Y
IDCJAC0002,062101,2011,03,26.3,Y
IDCJAC0002,062101,2011,04,22.0,Y
IDCJAC0002,062101,2011,05,17.7,Y
IDCJAC0002,062101,2011,06,14.5,Y
IDCJAC0002,062101,2011,07,14.3,Y
IDCJAC0002,062101,2011,08,17.7,Y
IDCJAC0002,062101,2011,09,20.2,Y
IDCJAC0002,062101,2011,10,21.7,Y
IDCJAC0002,062101,2011,11,26.6,Y
IDCJAC0002,062101,2011,12,24.2,Y
IDCJAC0002,062101,2012,01,27.9,Y
IDCJAC0002,062101,2012,02,26.6,Y
IDCJAC0002,062101,2012,03,25.4,Y
IDCJAC0002,062101,2012,04,23.0,Y
IDCJAC0002,062101,2012,05,18.4,Y
IDCJAC0002,062101,2012,06,14.8,Y
IDCJAC0002,062101,2012,07,14.6,Y
IDCJAC0002,062101,2012,08,16.2,Y
IDCJAC0002,062101,2012,09,21.1,Y
IDCJAC0002,062101,2012,10,24.1,Y
IDCJAC0002,062101,2012,11,28.3,Y
IDCJAC0002,062101,2012,12,31.2,Y
IDCJAC0002,062101,2013,01,33.1,Y
IDCJAC0002,062101,2013,02,28.3,Y
IDCJAC0002,062101,2013,03,26.0,Y
IDCJAC0002,062101,2013,04,23.8,Y
IDCJAC0002,062101,2013,05,19.3,Y
IDCJAC0002,062101,2013,06,15.4,Y
IDCJAC0002,062101,2013,07,15.9,Y
IDCJAC0002,062101,2013,08,17.4,Y
IDCJAC0002,062101,2013,09,22.8,Y
IDCJAC0002,062101,2013,10,25.3,Y
IDCJAC0002,062101,2013,11,27.3,Y
IDCJAC0002,062101,2013,12,31.6,Y
IDCJAC0002,062101,2014,01,33.1,Y
IDCJAC0002,062101,2014,02,30.7,Y
IDCJAC0002,062101,2014,03,25.9,Y
IDCJAC0002,062101,2014,04,22.7,Y
IDCJAC0002,062101,2014,05,19.2,Y
IDCJAC0002,062101,2014,06,15.4,Y
IDCJAC0002,062101,2014,07,14.3,Y
IDCJAC0002,062101,2014,08,16.5,Y
IDCJAC0002,062101,2014,09,20.3,Y
IDCJAC0002,062101,2014,10,26.4,Y
IDCJAC0002,062101,2014,11,31.2,Y
IDCJAC0002,062101,2014,12,29.4,Y
IDCJAC0002,062101,2015,01,28.9,Y
IDCJAC0002,062101,2015,02,30.3,Y
IDCJAC0002,062101,2015,03,29.1,Y
IDCJAC0002,062101,2015,04,21.4,Y
IDCJAC0002,062101,2015,05,17.7,Y
IDCJAC0002,062101,2015,06,15.4,Y
IDCJAC0002,062101,2015,07,13.2,Y
IDCJAC0002,062101,2015,08,15.5,Y
IDCJAC0002,062101,2015,09,19.4,Y
IDCJAC0002,062101,2015,10,27.0,Y
IDCJAC0002,062101,2015,11,27.8,Y
IDCJAC0002,062101,2015,12,29.8,Y
IDCJAC0002,062101,2016,01,28.9,Y
IDCJAC0002,062101,2016,02,30.9,Y
IDCJAC0002,062101,2016,03,29.4,Y
IDCJAC0002,062101,2016,04,26.0,Y
IDCJAC0002,062101,2016,05,19.5,Y
IDCJAC0002,062101,2016,06,13.8,Y
IDCJAC0002,062101,2016,07,14.6,Y
IDCJAC0002,062101,2016,08,15.6,Y
IDCJAC0002,062101,2016,09,17.3,Y
IDCJAC0002,062101,2016,10,20.9,Y
IDCJAC0002,062101,2016,11,26.7,Y
IDCJAC0002,062101,2016,12,31.5,Y
IDCJAC0002,062101,2017,01,33.7,Y
IDCJAC0002,062101,2017,02,33.8,Y
IDCJAC0002,062101,2017,03,27.8,Y
IDCJAC0002,062101,2017,04,21.8,Y
IDCJAC0002,062101,2017,05,18.9,Y
IDCJAC0002,062101,2017,06,16.4,Y
IDCJAC0002,062101,2017,07,15.9,Y
IDCJAC0002,062101,2017,08,16.9,Y
IDCJAC0002,062101,2017,09,22.1,Y
IDCJAC0002,062101,2017,10,25.3,Y
IDCJAC0002,062101,2017,11,26.2,Y
IDCJAC0002,062101,2017,12,30.6,Y
IDCJAC0002,062101,2018,01,33.9,Y
IDCJAC0002,062101,2018,02,31.5,Y
IDCJAC0002,062101,2018,03,28.8,Y
IDCJAC0002,062101,2018,04,26.2,Y
IDCJAC0002,062101,2018,05,19.7,Y
IDCJAC0002,062101,2018,06,15.5,Y
IDCJAC0002,062101,2018,07,15.8,Y
IDCJAC0002,062101,2018,08,16.1,Y
IDCJAC0002,062101,2018,09,20.2,Y
IDCJAC0002,062101,2018,10,23.9,Y
IDCJAC0002,062101,2018,11,26.6,Y
IDCJAC0002,062101,2018,12,31.2,Y
IDCJAC0002,062101,2019,01,35.5,Y
IDCJAC0002,062101,2019,02,30.7,Y
IDCJAC0002,062101,2019,03,28.3,Y
IDCJAC0002,062101,2019,04,24.5,Y
IDCJAC0002,062101,2019,05,19.0,Y
IDCJAC0002,062101,2019,06,16.1,Y
IDCJAC0002,062101,2019,07,16.9,Y
IDCJAC0002,062101,2019,08,17.6,Y
IDCJAC0002,062101,2019,09,22.2,Y
IDCJAC0002,062101,2019,10,26.7,Y
IDCJAC0002,062101,2019,11,29.6,Y
IDCJAC0002,062101,2019,12,34.0,Y
IDCJAC0002,062101,2020,01,34.6,Y
IDCJAC0002,062101,2020,02,28.0,Y
IDCJAC0002,062101,2020,03,24.5,Y
IDCJAC0002,062101,2020,04,21.2,Y
IDCJAC0002,062101,2020,05,17.4,Y
IDCJAC0002,062101,2020,06,15.7,Y
IDCJAC0002,062101,2020,07,15.1,Y
IDCJAC0002,062101,2020,08,14.9,Y
IDCJAC0002,062101,2020,09,19.9,Y
IDCJAC0002,062101,2020,10,23.5,Y
IDCJAC0002,062101,2020,11,28.1,Y
IDCJAC0002,062101,2020,12,27.5,Y
IDCJAC0002,062101,2021,01,29.2,Y
IDCJAC0002,062101,2021,02,28.0,Y
IDCJAC0002,062101,2021,03,25.6,Y
IDCJAC0002,062101,2021,04,22.4,Y
IDCJAC0002,062101,2021,05,18.9,Y
IDCJAC0002,062101,2021,06,14.6,Y
IDCJAC0002,062101,2021,07,14.0,Y
IDCJAC0002,062101,2021,08,17.0,Y
IDCJAC0002,062101,2021,09,19.8,Y
IDCJAC0002,062101,2021,10,22.0,Y
IDCJAC0002,062101,2021,11,22.4,Y
IDCJAC0002,062101,2021,12,27.7,Y
IDCJAC0002,062101,2022,01,28.7,Y
IDCJAC0002,062101,2022,02,28.2,Y
IDCJAC0002,062101,2022,03,26.1,Y
IDCJAC0002,062101,2022,04,22.3,Y
IDCJAC0002,062101,2022,05,18.3,Y
IDCJAC0002,062101,2022,06,14.0,Y
IDCJAC0002,062101,2022,07,14.3,Y
IDCJAC0002,062101,2022,08,16.2,Y
IDCJAC0002,062101,2022,09,17.9,Y
IDCJAC0002,062101,2022,10,20.6,Y
IDCJAC0002,062101,2022,11,22.8,Y
IDCJAC0002,062101,2022,12,26.7,Y
