Product code,Bureau of Meteorology station number,Year,Month,Mean minimum temperature (°C),Quality
IDCJAC0004,062101,2001,06,0.6,Y
IDCJAC0004,062101,2001,07,2.0,Y
IDCJAC0004,062101,2001,08,0.8,Y
IDCJAC0004,062101,2001,09,4.9,Y
IDCJAC0004,062101,2001,10,6.3,Y
IDCJAC0004,062101,2001,11,9.4,Y
IDCJAC0004,062101,2001,12,12.1,Y
IDCJAC0004,062101,2002,01,14.0,Y
IDCJAC0004,062101,2002,02,15.5,Y
IDCJAC0004,062101,2002,03,11.1,Y
IDCJAC0004,062101,2002,04,9.1,Y
IDCJAC0004,062101,2002,05,3.8,Y
IDCJAC0004,062101,2002,06,1.3,Y
IDCJAC0004,062101,2002,07,-1.9,Y
IDCJAC0004,062101,2002,08,0.9,Y
IDCJAC0004,062101,2002,09,3.0,Y
IDCJAC0004,062101,2002,10,6.4,Y
IDCJAC0004,062101,2002,11,12.2,Y
IDCJAC0004,062101,2002,12,13.2,Y
IDCJAC0004,062101,2003,01,15.9,Y
IDCJAC0004,062101,2003,02,17.6,Y
IDCJAC0004,062101,2003,03,11.7,Y
IDCJAC0004,062101,2003,04,8.3,Y
IDCJAC0004,062101,2003,05,5.3,Y
IDCJAC0004,062101,2003,06,3.8,Y
IDCJAC0004,062101,2003,07,1.4,Y
IDCJAC0004,062101,2003,08,1.4,Y
IDCJAC0004,062101,2003,09,3.3,Y
IDCJAC0004,062101,2003,10,5.6,Y
IDCJAC0004,062101,2003,11,9.3,Y
IDCJAC0004,062101,2003,12,14.4,Y
IDCJAC0004,062101,2004,01,15.3,Y
IDCJAC0004,062101,2004,02,16.2,Y
IDCJAC0004,062101,2004,03,12.2,Y
IDCJAC0004,062101,2004,04,8.2,Y
IDCJAC0004,062101,2004,05,1.6,Y
IDCJAC0004,062101,2004,06,1.4,Y
IDCJAC0004,062101,2004,07,0.3,Y
IDCJAC0004,062101,2004,08,2.2,Y
IDCJAC0004,062101,2004,09,3.4,Y
IDCJAC0004,062101,2004,10,8.1,Y
IDCJAC0004,062101,2004,11,10.4,Y
IDCJAC0004,062101,2004,12,14.0,Y
IDCJAC0004,062101,2005,01,15.9,Y
IDCJAC0004,062101,2005,02,14.6,Y
IDCJAC0004,062101,2005,03,11.3,Y
IDCJAC0004,062101,2005,04,9.0,Y
IDCJAC0004,062101,2005,05,2.7,Y
IDCJAC0004,062101,2005,06,4.0,Y
IDCJAC0004,062101,2005,07,2.5,Y
IDCJAC0004,062101,2005,08,0.8,Y
IDCJAC0004,062101,2005,09,5.4,Y
IDCJAC0004,062101,2005,10,9.2,Y
IDCJAC0004,062101,2005,11,11.8,Y
IDCJAC0004,062101,2005,12,11.7,Y
IDCJAC0004,062101,2006,01,18.2,Y
IDCJAC0004,062101,2006,02,16.4,Y
IDCJAC0004,062101,2006,03,13.6,Y
IDCJAC0004,062101,2006,04,5.5,Y
IDCJAC0004,062101,2006,05,0.8,Y
IDCJAC0004,062101,2006,06,-1.2,Y
IDCJAC0004,062101,2006,07,0.9,Y
IDCJAC0004,062101,2006,08,0.3,Y
IDCJAC0004,062101,2006,09,4.1,Y
IDCJAC0004,062101,2006,10,7.8,Y
IDCJAC0004,062101,2006,11,10.7,Y
IDCJAC0004,062101,2006,12,14.5,Y
IDCJAC0004,062101,2007,01,16.2,Y
IDCJAC0004,062101,2007,02,17.1,Y
IDCJAC0004,062101,2007,03,13.9,Y
IDCJAC0004,062101,2007,04,9.3,Y
IDCJAC0004,062101,2007,05,6.0,Y
IDCJAC0004,062101,2007,06,2.6,Y
IDCJAC0004,062101,2007,07,0.8,Y
IDCJAC0004,062101,2007,08,4.0,Y
IDCJAC0004,062101,2007,09,3.5,Y
IDCJAC0004,062101,2007,10,6.8,Y
IDCJAC0004,062101,2007,11,13.3,Y
IDCJAC0004,062101,2007,12,15.1,Y
IDCJAC0004,062101,2008,01,16.2,Y
IDCJAC0004,062101,2008,02,13.9,Y
IDCJAC0004,062101,2008,03,10.3,Y
IDCJAC0004,062101,2008,04,5.9,Y
IDCJAC0004,062101,2008,05,1.5,Y
IDCJAC0004,062101,2008,06,4.6,Y
IDCJAC0004,062101,2008,07,0.6,Y
IDCJAC0004,062101,2008,08,0.0,Y
IDCJAC0004,062101,2008,09,4.5,Y
IDCJAC0004,062101,2008,10,8.4,Y
IDCJAC0004,062101,2008,11,11.2,Y
IDCJAC0004,062101,2008,12,13.1,Y
IDCJAC0004,062101,2009,01,14.9,Y
IDCJAC0004,062101,2009,02,15.8,Y
IDCJAC0004,062101,2009,03,11.8,Y
IDCJAC0004,062101,2009,04,9.5,Y
IDCJAC0004,062101,2009,05,5.1,Y
IDCJAC0004,062101,2009,06,3.9,Y
IDCJAC0004,062101,2009,07,1.7,Y
IDCJAC0004,062101,2009,08,0.8,Y
IDCJAC0004,062101,2009,09,4.5,Y
IDCJAC0004,062101,2009,10,7.5,Y
IDCJAC0004,062101,2009,11,14.1,Y
IDCJAC0004,062101,2009,12,14.7,Y
IDCJAC0004,062101,2010,01,16.6,Y
IDCJAC0004,062101,2010,02,17.0,Y
IDCJAC0004,062101,2010,03,13.1,Y
IDCJAC0004,062101,2010,04,8.8,Y
IDCJAC0004,062101,2010,05,4.5,Y
