Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,041034,1891,08,52.1,Y
IDCJAC0001,041034,1891,09,98.6,Y
IDCJAC0001,041034,1891,10,58.9,Y
IDCJAC0001,041034,1891,11,117.1,Y
IDCJAC0001,041034,1891,12,67.6,Y
IDCJAC0001,041034,1892,01,84.1,Y
IDCJAC0001,041034,1892,02,43.4,Y
IDCJAC0001,041034,1892,03,88.9,Y
IDCJAC0001,041034,1892,04,69.6,Y
IDCJAC0001,041034,1892,05,59.4,Y
IDCJAC0001,041034,1892,06,48.3,Y
IDCJAC0001,041034,1892,07,78.5,Y
IDCJAC0001,041034,1892,08,23.6,Y
IDCJAC0001,041034,1892,09,57.9,Y
IDCJAC0001,041034,1892,10,120.9,Y
IDCJAC0001,041034,1892,11,83.6,Y
IDCJAC0001,041034,1892,12,67.6,Y
IDCJAC0001,041034,1893,01,66.9,Y
IDCJAC0001,041034,1893,02,195.1,Y
IDCJAC0001,041034,1893,03,38.8,Y
IDCJAC0001,041034,1893,04,102.7,Y
IDCJAC0001,041034,1893,05,102.6,Y
IDCJAC0001,041034,1893,06,91.5,Y
IDCJAC0001,041034,1893,07,38.1,Y
IDCJAC0001,041034,1893,08,20.5,Y
IDCJAC0001,041034,1893,09,18.3,Y
IDCJAC0001,041034,1893,10,76.1,Y
IDCJAC0001,041034,1893,11,139.4,Y
IDCJAC0001,041034,1893,12,27.1,Y
IDCJAC0001,041034,1894,01,108.8,Y
IDCJAC0001,041034,1894,02,13.3,Y
IDCJAC0001,041034,1894,03,55.5,Y
IDCJAC0001,041034,1894,04,42.9,Y
IDCJAC0001,041034,1894,05,65.6,Y
IDCJAC0001,041034,1894,06,47.5,Y
IDCJAC0001,041034,1894,07,13.5,Y
IDCJAC0001,041034,1894,08,11.7,Y
IDCJAC0001,041034,1894,09,58.7,Y
IDCJAC0001,041034,1894,10,126.1,Y
IDCJAC0001,041034,1894,11,45.8,Y
IDCJAC0001,041034,1894,12,32.2,Y
IDCJAC0001,041034,1895,01,118.6,Y
IDCJAC0001,041034,1895,02,2.8,Y
IDCJAC0001,041034,1895,03,0.0,Y
IDCJAC0001,041034,1895,04,0.0,Y
IDCJAC0001,041034,1895,05,14.7,Y
IDCJAC0001,041034,1895,06,2.8,Y
IDCJAC0001,041034,1895,07,40.1,Y
IDCJAC0001,041034,1895,08,19.1,Y
IDCJAC0001,041034,1895,09,24.1,Y
IDCJAC0001,041034,1895,10,54.1,Y
IDCJAC0001,041034,1895,11,106.7,Y
IDCJAC0001,041034,1895,12,152.9,Y
IDCJAC0001,041034,1896,01,59.9,Y
IDCJAC0001,041034,1896,02,103.4,Y
IDCJAC0001,041034,1896,03,35.3,Y
IDCJAC0001,041034,1896,04,22.9,Y
IDCJAC0001,041034,1896,05,41.9,Y
IDCJAC0001,041034,1896,06,23.6,Y
IDCJAC0001,041034,1896,07,103.4,Y
IDCJAC0001,041034,1896,08,15.7,Y
IDCJAC0001,041034,1896,09,30.0,Y
IDCJAC0001,041034,1896,10,19.3,Y
IDCJAC0001,041034,1896,11,115.3,Y
IDCJAC0001,041034,1896,12,132.1,Y
IDCJAC0001,041034,1897,01,54.1,Y
IDCJAC0001,041034,1897,02,25.4,Y
IDCJAC0001,041034,1897,03,111.3,Y
IDCJAC0001,041034,1897,04,0.0,Y
IDCJAC0001,041034,1897,05,3.0,Y
IDCJAC0001,041034,1897,06,75.2,Y
IDCJAC0001,041034,1897,07,118.6,Y
IDCJAC0001,041034,1897,08,54.9,Y
IDCJAC0001,041034,1897,09,81.3,Y
IDCJAC0001,041034,1897,10,48.3,Y
IDCJAC0001,041034,1897,11,56.4,Y
IDCJAC0001,041034,1897,12,108.2,Y
