Product code,Bureau of Meteorology station number,Year,Month,Mean minimum temperature (°C),Quality
IDCJAC0004,041100,1979,03,16.1,Y
IDCJAC0004,041100,1979,04,12.8,Y
IDCJAC0004,041100,1979,05,6.8,Y
IDCJAC0004,041100,1979,06,7.4,Y
IDCJAC0004,041100,1979,07,2.0,Y
IDCJAC0004,041100,1979,08,3.3,Y
IDCJAC0004,041100,1979,09,8.0,Y
IDCJAC0004,041100,1979,10,12.0,Y
IDCJAC0004,041100,1979,11,16.0,Y
IDCJAC0004,041100,1979,12,18.6,Y
IDCJAC0004,041100,1980,01,18.6,Y
IDCJAC0004,041100,1980,02,18.6,Y
IDCJAC0004,041100,1980,03,16.1,Y
IDCJAC0004,041100,1980,04,11.6,Y
IDCJAC0004,041100,1980,05,9.7,Y
IDCJAC0004,041100,1980,06,3.6,Y
IDCJAC0004,041100,1980,07,3.1,Y
IDCJAC0004,041100,1980,08,5.9,Y
IDCJAC0004,041100,1980,09,7.0,Y
IDCJAC0004,041100,1980,10,14.0,Y
IDCJAC0004,041100,1980,11,14.7,Y
IDCJAC0004,041100,1980,12,16.1,Y
IDCJAC0004,041100,1981,01,18.9,Y
IDCJAC0004,041100,1981,02,20.7,Y
IDCJAC0004,041100,1981,03,15.4,Y
IDCJAC0004,041100,1981,04,11.9,Y
IDCJAC0004,041100,1981,05,8.9,Y
IDCJAC0004,041100,1981,06,5.7,Y
IDCJAC0004,041100,1981,07,5.1,Y
IDCJAC0004,041100,1981,08,3.8,Y
IDCJAC0004,041100,1981,09,8.4,Y
IDCJAC0004,041100,1981,10,10.8,Y
IDCJAC0004,041100,1981,11,14.4,Y
IDCJAC0004,041100,1981,12,18.1,Y
IDCJAC0004,041100,1982,01,20.2,Y
IDCJAC0004,041100,1982,02,18.8,Y
IDCJAC0004,041100,1982,03,17.5,Y
IDCJAC0004,041100,1982,04,11.1,Y
IDCJAC0004,041100,1982,05,6.6,Y
IDCJAC0004,041100,1982,06,1.0,Y
IDCJAC0004,041100,1982,07,0.7,Y
IDCJAC0004,041100,1982,08,4.5,Y
IDCJAC0004,041100,1982,09,7.6,Y
IDCJAC0004,041100,1982,10,9.3,Y
IDCJAC0004,041100,1982,11,15.1,Y
IDCJAC0004,041100,1982,12,17.7,Y
IDCJAC0004,041100,1983,01,17.8,Y
