Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,041100,1979,04,29.6,Y
IDCJAC0002,041100,1979,05,22.3,Y
IDCJAC0002,041100,1979,06,20.8,Y
IDCJAC0002,041100,1979,07,19.7,Y
IDCJAC0002,041100,1979,08,20.8,Y
IDCJAC0002,041100,1979,09,24.9,Y
IDCJAC0002,041100,1979,10,27.6,Y
IDCJAC0002,041100,1979,11,31.7,Y
IDCJAC0002,041100,1979,12,37.5,Y
IDCJAC0002,041100,1980,01,37.1,Y
IDCJAC0002,041100,1980,02,33.3,Y
IDCJAC0002,041100,1980,03,33.9,Y
IDCJAC0002,041100,1980,04,29.3,Y
IDCJAC0002,041100,1980,05,21.5,Y
IDCJAC0002,041100,1980,06,20.0,Y
IDCJAC0002,041100,1980,07,17.6,Y
IDCJAC0002,041100,1980,08,22.8,Y
IDCJAC0002,041100,1980,09,28.2,Y
IDCJAC0002,041100,1980,10,30.8,Y
IDCJAC0002,041100,1980,11,31.0,Y
IDCJAC0002,041100,1980,12,31.2,Y
IDCJAC0002,041100,1981,01,34.9,Y
IDCJAC0002,041100,1981,02,34.3,Y
IDCJAC0002,041100,1981,03,33.9,Y
IDCJAC0002,041100,1981,04,28.8,Y
IDCJAC0002,041100,1981,05,22.8,Y
IDCJAC0002,041100,1981,06,18.3,Y
IDCJAC0002,041100,1981,07,18.1,Y
IDCJAC0002,041100,1981,08,19.2,Y
IDCJAC0002,041100,1981,09,26.5,Y
IDCJAC0002,041100,1981,10,27.9,Y
IDCJAC0002,041100,1981,11,28.6,Y
IDCJAC0002,041100,1981,12,33.9,Y
IDCJAC0002,041100,1982,01,33.5,Y
IDCJAC0002,041100,1982,02,34.0,Y
IDCJAC0002,041100,1982,03,28.4,Y
IDCJAC0002,041100,1982,04,27.1,Y
IDCJAC0002,041100,1982,05,24.8,Y
IDCJAC0002,041100,1982,06,19.1,Y
IDCJAC0002,041100,1982,07,18.7,Y
IDCJAC0002,041100,1982,08,23.4,Y
IDCJAC0002,041100,1982,09,24.0,Y
